"IL","Hazafon","Aavroun"
"IL","Hadarom","Aba Hillel"
"IL","Hadarom","Abba Hillel"
"IL","Hamerkaz","`Abbasiya"
"IL","Hazafon","Abbirim"
"IL","Hamerkaz","Abu Fadl"
"IL","Yerushalayim","Abu Ghaush"
"IL","Yerushalayim","Abu-Ghawsh"
"IL","Yerushalayim","Abu Ghosh"
"IL","Hadarom","Abu Jabir"
"IL","Tel Aviv","Abu Kabir"
"IL","Tel Aviv","Abu Kebir"
"IL","Hazafon","Abu Senan"
"IL","Hazafon","Abu-Senan"
"IL","Hamerkaz","Abu Shusha"
"IL","Hamerkaz","Abu-Shushah"
"IL","Hazafon","Abu Sinan"
"IL","Hazafon","Accho"
"IL","Hazafon","Acre"
"IL","Hazafon","Acri"
"IL","Hazafon","Adamit"
"IL","Hazafon","Adamith"
"IL","Hamerkaz","`Adanim"
"IL","Yerushalayim","Adderet"
"IL","Hazafon","Addirim"
"IL","Hazafon","Adirim"
"IL","Hazafon","Admit"
"IL","Hazafon","Afeq"
"IL","Hazafon","Affula"
"IL","Hazafon","Afikim"
"IL","Hazafon","Afiqim"
"IL","Hadarom","Afridar"
"IL","Hazafon","`Afula"
"IL","Hazafon","`Afula `Elit"
"IL","Hazafon","`Afulah `Ilith"
"IL","Hazafon","`Afula `Illit"
"IL","Hazafon","Afula Illit"
"IL","Hazafon","Afule"
"IL","Hazafon","Afuli"
"IL","Hazafon","`Afulla `Illit"
"IL","Hadarom","Agudat Israel"
"IL","Yerushalayim","`Agur"
"IL","Hadarom","Ahawa"
"IL","Hamerkaz","Ahi`Ezer"
"IL","Hazafon","Ahihud"
"IL","Hamerkaz","Ahisamakh"
"IL","Hamerkaz","Ahituv"
"IL","Hefa","Ahutzasamuel"
"IL","Hadarom","Ahuzam"
"IL","Hadarom","Ahuzam B."
"IL","Hefa","Ahuzat Samuel"
"IL","Hefa","Ahuzat Sir Herbert Samuel"
"IL","Hefa","Ahuzza"
"IL","Hadarom","Ahuzzam"
"IL","Hadarom","Ahuzzam Bet"
"IL","Hazafon","Ahuzzat Baraq"
"IL","Hazafon","Ahuzzat Naftali"
"IL","Hefa","Ahuzzat Shemu`El"
"IL","Hefa","Ahuzzat Sir Herbert Samuel"
"IL","Hazafon","`Ailabun"
"IL","Hefa","Ain Ayala"
"IL","Hazafon","`Ain Birya"
"IL","Hefa","Ain Ghazil"
"IL","Hefa","Ain Hod"
"IL","Hadarom","Ain Karim"
"IL","Hazafon","`Ain Katab"
"IL","Hazafon","Ain Yaaqoub"
"IL","Hadarom","Ain Yahav"
"IL","Hazafon","Aiyelet Hashahar"
"IL","Hazafon","Aiyelet Hash Shahar"
"IL","Tel Aviv","Ajami Quarter"
"IL","Yerushalayim","`Ajjur"
"IL","Hazafon","`Akbara"
"IL","Hazafon","Akbara"
"IL","Hazafon","`Akhbera"
"IL","Hazafon","Akhberah"
"IL","Hazafon","Akhsanit Kare Deshe"
"IL","Hazafon","Akhsanya"
"IL","Hamerkaz","Akir"
"IL","Hazafon","`Akka"
"IL","Hefa","Akkada"
"IL","Hazafon","Akkia"
"IL","Hazafon","`Akko"
"IL","Hazafon","Akre"
"IL","Hadarom","Al `Amarah"
"IL","Hadarom","Al `Awja'"
"IL","Hazafon","Al Bassa"
"IL","Hazafon","Al Bi`Na"
"IL","Hazafon","Al-Binah"
"IL","Hazafon","Al Buqei`A"
"IL","Hefa","Al Fureidis"
"IL","Hamerkaz","Al Haditha"
"IL","Tel Aviv","Al Haram"
"IL","Hadarom","Al Huzail"
"IL","Hadarom","Al `Imara"
"IL","Hadarom","Al Jiya"
"IL","Hazafon","Al Judeida"
"IL","Hefa","Al Kababir"
"IL","Hazafon","Al Kabiri"
"IL","Hazafon","Al Kabri"
"IL","Hazafon","Al Khalisa"
"IL","Yerushalayim","`Allar"
"IL","Hefa","Allona"
"IL","Hefa","Allonah"
"IL","Hazafon","Allone Abba"
"IL","Hefa","Allonei-Yitzhak"
"IL","Hefa","Allone Yitshak"
"IL","Hefa","Allone Yizhaq"
"IL","Hazafon","Allonim"
"IL","Hazafon","`Alma"
"IL","Hazafon","Alma"
"IL","Hazafon","Almagor"
"IL","Hadarom","Al Majdal"
"IL","Yerushalayim","Al Malha"
"IL","Yerushalayim","Al Maliha"
"IL","Hazafon","Al Manara"
"IL","Hazafon","Al Manawat"
"IL","Hefa","Al Marah"
"IL","Tel Aviv","Al Mas`Udiya"
"IL","Hefa","Al Mazar"
"IL","Hazafon","Al Mazra`A"
"IL","Hadarom","Al Muharraqa"
"IL","Yerushalayim","Al Musrarah"
"IL","Hefa","Alona"
"IL","Hefa","Alonah"
"IL","Hefa","Alonei-Yitshaq"
"IL","Hefa","Alone Yitzhak"
"IL","Hazafon","Alonim"
"IL","Hamerkaz","Al Qubab"
"IL","Hamerkaz","Al Qubeiba"
"IL","Hefa","Alro'I"
"IL","Yerushalayim","Al Tabieh"
"IL","Hazafon","Al `Ulmaniya"
"IL","Hadarom","`Alumim"
"IL","Hadarom","Alumim"
"IL","Hadarom","Alumma"
"IL","Hazafon","Alummot"
"IL","Hazafon","Alumot"
"IL","Hamerkaz","Al Yahudiya"
"IL","Hadarom","Amatsya"
"IL","Hadarom","Amazya"
"IL","Hamerkaz","`Amelim"
"IL","Hazafon","Ami`Ad"
"IL","Yerushalayim","`Aminadav"
"IL","Hadarom","Amioz"
"IL","Hazafon","`Amir"
"IL","Hazafon","Amir"
"IL","Hazafon","Amirim"
"IL","Hazafon","Amka"
"IL","Hazafon","`Ammi`Ad"
"IL","Hazafon","Ammi'Ad"
"IL","Hefa","Ammikam"
"IL","Yerushalayim","`Amminadav"
"IL","Yerushalayim","Amminadav"
"IL","Hadarom","`Ammi`Oz"
"IL","Hadarom","Ammi'Oz"
"IL","Hefa","`Ammiqam"
"IL","Hazafon","Am Misgav"
"IL","Tel Aviv","`Ammishav"
"IL","Hazafon","Amnun"
"IL","Hazafon","`Amqa"
"IL","Hazafon","`Amqah"
"IL","Hazafon","An Nawaqir"
"IL","Hazafon","Annouqar"
"IL","Hefa","`Aqada"
"IL","Hazafon","`Aqbarah"
"IL","Hamerkaz","`Aqir"
"IL","Hefa","`Aqqada"
"IL","Hefa","`Ara"
"IL","Hazafon","`Araba"
"IL","Hazafon","`Arabah"
"IL","Hadarom","`Arad"
"IL","Hefa","`Arah"
"IL","Hazafon","`Aramsha"
"IL","Hazafon","Aramsha"
"IL","Hefa","`Ar`Ara"
"IL","Hefa","Ar'Ara"
"IL","Hefa","`Ar`Arah"
"IL","Hazafon","`Arav"
"IL","Hazafon","Arbel"
