"NA","Hardap","Abbabis"
"NA","Otjozondjupa","Abenab"
"NA","Karas","Affenrucken"
"NA","Karas","Ai-Ais"
"NA","Karas","Ais"
"NA","Omusati","Akutsima"
"NA","Oshana","Akweenyanga"
"NA","Hardap","Alt Duwisib"
"NA","Karas","Aluriesfontein"
"NA","Karas","Alurisfontein"
"NA","Omusati","Amaadhala"
"NA","Kunene","Amakange"
"NA","Omusati","Amarika"
"NA","Erongo","Amasbank"
"NA","Oshikoto","Ambende"
"NA","Oshikoto","Amilema"
"NA","Omaheke","Aminuis"
"NA","Oshikoto","Amukulungundju"
"NA","Oshana","Amutanga"
"NA","Oshikoto","Amuteya"
"NA","Omusati","Amwaanda"
"NA","Oshana","Amweepele"
"NA","Kunene","Anabib"
"NA","Omusati","Anamulenge"
"NA","Caprivi","Andara"
"NA","Karas","Angra-Juntas"
"NA","Karas","Angras Juntas"
"NA","Erongo","Anichab"
"NA","Erongo","Anigab"
"NA","Kunene","Anixab"
"NA","Otjozondjupa","Anker"
"NA","Kunene","Antheap Milepost"
"NA","Oshana","Arabia"
"NA","Erongo","Arandis"
"NA","Hardap","Aranos"
"NA","Karas","Araob"
"NA","Otjozondjupa","Arbeidsloon"
"NA","Karas","Ariamab"
"NA","Karas","Ariamsvlei"
"NA","Karas","Ariamsvley"
"NA","Erongo","Arixa Ams"
"NA","Karas","Aroab"
"NA","Omaheke","Aroams"
"NA","Omaheke","Aroams Oos"
"NA","Kunene","Arona"
"NA","Caprivi","Asikuli"
"NA","Hardap","Aub"
"NA","Erongo","Aubinhonis"
"NA","Erongo","Aubinhorus"
"NA","Karas","Auputz"
"NA","Karas","Aurus"
"NA","Karas","Aus"
"NA","Karas","Austerlitz"
"NA","Caprivi","Bagani"
"NA","Kunene","Bam Se Pos"
"NA","Karas","Beenbreek"
"NA","Otjozondjupa","Bergquell"
"NA","Karas","Berseba"
"NA","Erongo","Bethal"
"NA","Karas","Bethanie"
"NA","Karas","Bethanien"
"NA","Karas","Bethany"
"NA","Erongo","Birkenfels"
"NA","Caprivi","Biro"
"NA","Karas","Blau"
"NA","Karas","Blaukehl"
"NA","Omaheke","Blignaut"
"NA","Hardap","Blokwater"
"NA","Hardap","Bloukrans"
"NA","Karas","Blouwes"
"NA","Karas","Blydeverwacht"
"NA","Karas","Bokiesbank"
"NA","Karas","Bokiesbank Oos"
"NA","Karas","Bokiesbank Ost"
"NA","Otjozondjupa","Boomplaas"
"NA","Karas","Bruinheuvel"
"NA","Karas","Bruinheuwel"
"NA","Caprivi","Buchani"
"NA","Omaheke","Buitepos"
"NA","Caprivi","Bukalo"
"NA","Otjozondjupa","Bulhoek"
"NA","Otjozondjupa","Bulskop"
"NA","Caprivi","Butjana"
"NA","Caprivi","Bwabwata"
"NA","Hardap","Cambells Aub"
"NA","Erongo","Cape Cross"
"NA","Caprivi","Catjo"
"NA","Caprivi","Chaka"
"NA","Caprivi","Charley"
"NA","Karas","Charliesputs"
"NA","Karas","Charlys Putz"
"NA","Caprivi","Chefuzwe"
"NA","Caprivi","Chengere"
"NA","Caprivi","Chinchimane"
"NA","Karas","Chrisjansputs"
"NA","Karas","Christians Putz"
"NA","Otjozondjupa","Coblenz"
"NA","Caprivi","Cowenga"
"NA","Okavango","Cuma"
"NA","Okavango","Cuseva"
"NA","Okavango","Cwa"
"NA","Karas","Dabegabis"
"NA","Okavango","Dakwa"
"NA","Okavango","Dancence"
"NA","Karas","Davignab"
"NA","Karas","Davignab Sud"
"NA","Karas","Davignab Suid"
"NA","Erongo","Daweb"
"NA","Karas","Dawegabis"
"NA","Karas","Dawignab"
"NA","Karas","Debegabis"
"NA","Otjozondjupa","Denarius"
"NA","Otjozondjupa","Deo-Volente"
"NA","Hardap","Derm"
"NA","Okavango","Desi"
"NA","Otjozondjupa","De Start"
"NA","Karas","Devillers Putz"
"NA","Karas","De Villiersputs"
"NA","Karas","De Villiers Putz"
"NA","Otjozondjupa","Die End"
"NA","Otjozondjupa","Die Park"
"NA","Caprivi","Dikundhu"
"NA","Caprivi","Dipito"
"NA","Caprivi","Diyogha"
"NA","Okavango","Djadjasa"
"NA","Karas","Dobegabis"
"NA","Caprivi","Dongo"
"NA","Okavango","Dosa"
"NA","Erongo","Douglas"
"NA","Karas","Draaihoek"
"NA","Karas","Dreihuk"
"NA","Karas","Drei Kameelbaum"
"NA","Oshikoto","Driehoek"
